ts_code,name,invest_type,category,return_3m,return_6m,return_1y,volatility,max_drawdown,sharpe,data_points,rank_6m,percentile_6m,rank_1y,percentile_1y,quality_score,scale_status,pass_performance,pass_quality,veto,is_core,is_watch,is_backup,fund_scale,high_quality
026323.OF,广发消费智选A,混合型,混合型-偏股,-7.48,-7.96,-4.41,14.16,9.78,-0.45,50,4681.0,10.310463779225753,4895.0,6.352851128970527,51.5,preferred,True,False,False,False,False,False,8.488188129957031,False
026324.OF,广发消费智选C,混合型,混合型-偏股,-7.52,-8.04,-4.48,14.17,9.83,-0.46,50,4695.0,10.042161747796088,4901.0,6.238040566398773,51.3,watch,True,False,False,False,False,True,2.066329017815994,False
026327.OF,广发乾元价值增长A,混合型,混合型-偏股,0.52,-0.21,5.05,19.41,6.87,0.16,50,1939.0,62.85933307780759,1879.0,64.06429391504018,61.5,preferred,False,False,False,False,False,False,5.135550021567756,False
026328.OF,广发乾元价值增长C,混合型,混合型-偏股,0.48,-0.29,4.94,19.41,6.88,0.15,50,2013.0,61.44116519739365,1913.0,63.41370072713357,61.1,preferred,False,False,False,False,False,False,7.009269412424157,False
026140.OF,财信芙璟A,混合型,混合型-偏股,-0.19,-0.04,0.13,2.93,0.88,-0.64,53,1735.0,66.76887696435416,4179.0,20.053578262533488,48.7,preferred,False,False,False,False,False,False,43.31706514039212,False
026141.OF,财信芙璟C,混合型,混合型-偏股,-0.22,-0.09,0.05,2.92,0.88,-0.67,53,1801.0,65.50402453047144,4214.0,19.38384998086491,47.9,preferred,False,False,False,False,False,False,18.399839605455824,False
025716.OF,安联睿利6个月持有C,混合型,混合型-偏股,-0.54,-1.71,-0.28,7.18,3.08,-0.32,33,2962.0,43.25412035262553,4318.0,17.393800229621124,53.0,watch,False,False,False,False,False,False,1.4686620460322344,False
026069.OF,新华低碳经济C,混合型,混合型-偏股,-10.29,-7.1,6.21,59.42,12.58,0.07,40,4565.0,12.533537753928703,1560.0,70.16838882510524,46.6,preferred,True,False,False,False,False,False,17.973541561677806,False
025715.OF,安联睿利6个月持有A,混合型,混合型-偏股,-0.51,-1.67,-0.2,7.2,3.04,-0.31,33,2936.0,43.75239555385205,4294.0,17.853042479908154,53.2,preferred,False,False,False,False,False,False,7.674485562200018,False
026068.OF,新华低碳经济A,混合型,混合型-偏股,-10.26,-7.06,6.29,59.42,12.55,0.07,40,4549.0,12.84016864699118,1547.0,70.41714504401071,46.7,preferred,True,False,False,False,False,False,5.406995616184509,False
