ts_code,name,invest_type,category
015409.OF,景顺长城成长趋势C,股票型,主动股票型
018949.OF,东方红睿华沪港深C,灵活配置型,混合型-平衡
018819.OF,鑫元数字经济C,混合型,混合型-偏股
018153.OF,创金合信汇选6个月持有A,混合型,混合型-偏股
018818.OF,鑫元数字经济A,混合型,混合型-偏股
018832.OF,建信兴利C,灵活配置型,混合型-平衡
015408.OF,景顺长城成长趋势A,股票型,主动股票型
018154.OF,创金合信汇选6个月持有C,混合型,混合型-偏股
018626.OF,富国兴享回报6个月持有A,混合型,混合型-偏股
018627.OF,富国兴享回报6个月持有C,混合型,混合型-偏股
017179.OF,天弘永丰平衡养老目标三年持有,混合型,混合型-偏股
018933.OF,长盛城镇化主题C,混合型,混合型-偏股
018934.OF,长盛互联网+C,灵活配置型,混合型-平衡
017404.OF,天弘养老目标日期2045五年持有,混合型,混合型-偏股
018689.OF,永赢恒欣稳健养老目标三年持有Y,混合型,混合型-偏股
018932.OF,中信保诚四季红C,混合型,混合型-偏股
