ts_code,name,invest_type,category,return_3m,return_6m,return_1y,volatility,max_drawdown,sharpe,data_points
019436.OF,易米鑫选品质C,混合型,混合型-偏股,-4.32,-4.5,-0.48,11.59,11.95,-0.21,455
019830.OF,华夏数字产业C,混合型,混合型-偏股,7.48,9.78,7.25,27.73,20.44,0.19,455
019829.OF,华夏数字产业A,混合型,混合型-偏股,7.52,9.86,7.39,27.74,20.41,0.19,455
020768.OF,中信保诚国企红利量化选股A,股票型,主动股票型,1.23,4.24,4.95,8.64,6.09,0.34,455
021062.OF,宏利市值优选C,混合型,混合型-偏股,1.08,2.37,7.61,11.32,9.28,0.5,455
020769.OF,中信保诚国企红利量化选股C,股票型,主动股票型,1.2,4.17,4.83,8.64,6.1,0.33,455
020147.OF,兴银价值平衡A,混合型,混合型-偏股,-1.06,-0.66,4.5,10.27,11.56,0.24,455
020148.OF,兴银价值平衡C,混合型,混合型-偏股,-1.09,-0.71,4.41,10.27,11.58,0.23,455
020658.OF,信澳红利智选C,混合型,混合型-偏股,0.44,2.96,6.44,7.89,6.06,0.56,455
020657.OF,信澳红利智选A,混合型,混合型-偏股,0.48,3.03,6.57,7.9,6.06,0.58,455
019665.OF,景顺长城保守养老目标一年持有A,混合型,混合型-偏股,0.11,0.17,1.07,1.24,0.88,-0.74,440
019337.OF,万家国企动力C,混合型,混合型-偏股,3.56,7.85,24.15,20.89,13.21,1.06,455
019336.OF,万家国企动力A,混合型,混合型-偏股,3.61,7.92,24.25,20.9,13.19,1.06,455
020669.OF,国投瑞银弘信回报A,混合型,混合型-偏股,-0.47,0.9,5.59,9.9,10.61,0.36,455
018901.OF,招商回报优选A,混合型,混合型-偏股,-2.12,-3.78,13.09,16.15,15.89,0.69,455
018902.OF,招商回报优选C,混合型,混合型-偏股,-2.17,-3.85,12.94,16.15,16.0,0.68,455
020511.OF,金鹰科技致远C,混合型,混合型-偏股,-4.25,-5.4,10.17,19.89,19.65,0.41,455
