ts_code,name,invest_type,category,return_3m,return_6m,return_1y,volatility,max_drawdown,sharpe,data_points,rank_6m,percentile_6m,rank_1y,percentile_1y,quality_score,veto_reason
015945.OF,易方达国防军工C,混合型,混合型-偏股,3.94,1.85,25.97,18.72,11.86,1.28,455,713.0,86.35492525871982,56.0,98.94756984309223,91.2,
015731.OF,景顺长城核心竞争力C,混合型,混合型-偏股,4.48,5.85,16.79,15.78,13.32,0.94,455,210.0,95.99463395937141,244.0,95.35017221584386,81.9,
015722.OF,长城中小盘成长C,混合型,混合型-偏股,11.75,19.44,33.36,19.53,15.92,1.61,455,12.0,99.78919126101955,15.0,99.73210868733257,91.6,
013555.OF,信澳远见价值C,混合型,混合型-偏股,1.11,1.01,16.31,14.46,10.23,0.99,455,1000.0,80.85473361441166,260.0,95.0440107156525,86.9,
013554.OF,信澳远见价值A,混合型,混合型-偏股,1.16,1.08,16.44,14.47,10.2,1.0,455,977.0,81.29551552318897,257.0,95.10141599693839,87.2,
015566.OF,万家精选C,混合型,混合型-偏股,5.38,11.43,18.0,17.63,11.71,0.91,455,52.0,99.02261402836335,202.0,96.15384615384616,84.0,
013675.OF,长城价值甄选一年持有C,混合型,混合型-偏股,2.39,4.85,27.0,23.14,11.93,1.08,455,280.0,94.65312380222308,42.0,99.21546115575967,87.7,
013674.OF,长城价值甄选一年持有A,混合型,混合型-偏股,2.45,4.94,27.2,23.15,11.84,1.09,455,265.0,94.94059026446915,39.0,99.27286643704554,87.8,
015455.OF,信澳周期动力C,混合型,混合型-偏股,4.2,3.91,16.83,17.16,13.35,0.86,455,357.0,93.17746262935991,241.0,95.40757749712974,80.3,
015458.OF,天弘周期策略C,混合型,混合型-偏股,4.0,3.63,16.74,14.21,12.12,1.04,454,390.0,92.54503641241854,248.0,95.27363184079603,85.0,
015211.OF,招商安鼎平衡1年持有A,混合型,混合型-偏股,3.95,3.47,17.86,10.94,8.29,1.45,455,413.0,92.10425450364124,210.0,96.00076540375048,93.9,
015212.OF,招商安鼎平衡1年持有C,混合型,混合型-偏股,3.91,3.39,17.7,10.92,8.32,1.44,455,428.0,91.81678804139517,218.0,95.84768465365481,93.8,
013496.OF,信澳产业优选一年持有C,混合型,混合型-偏股,20.1,18.91,26.3,14.64,8.43,1.66,455,17.0,99.69336910693752,50.0,99.06238040566399,96.5,
013495.OF,信澳产业优选一年持有A,混合型,混合型-偏股,20.16,19.02,26.5,14.63,8.39,1.68,455,16.0,99.71253353775393,49.0,99.08151549942595,96.7,
015309.OF,国投瑞银境煊E,灵活配置型,混合型-平衡,1.91,5.59,15.23,12.84,12.06,1.03,455,29.0,94.08033826638477,41.0,91.5433403805497,83.8,
015173.OF,申万菱信竞争优势C,混合型,混合型-偏股,1.18,5.57,14.09,12.67,8.8,0.95,455,226.0,95.68800306630894,416.0,92.05893608878684,85.8,
015157.OF,申万菱信行业轮动C,股票型,主动股票型,4.17,5.94,28.13,18.81,11.37,1.39,455,20.0,96.7128027681661,5.0,99.30795847750865,92.8,
014718.OF,富国天旭均衡A,混合型,混合型-偏股,4.03,6.99,19.62,13.96,13.19,1.26,455,158.0,96.99118436182445,156.0,97.03406046689629,87.2,
014719.OF,富国天旭均衡C,混合型,混合型-偏股,4.0,6.92,19.48,13.96,13.2,1.25,455,161.0,96.93369106937524,159.0,96.97665518561041,87.0,
014348.OF,富国趋势优先C,混合型,混合型-偏股,4.19,6.67,18.88,13.76,12.9,1.23,455,168.0,96.79954005366041,168.0,96.80443934175278,87.0,
014347.OF,富国趋势优先A,混合型,混合型-偏股,4.24,6.74,19.03,13.77,12.88,1.24,455,165.0,96.85703334610962,165.0,96.86184462303865,87.2,
012816.OF,国泰致和A,混合型,混合型-偏股,6.62,10.44,23.4,14.47,12.23,1.48,455,65.0,98.7734764277501,91.0,98.27784156142366,92.4,
012817.OF,国泰致和C,混合型,混合型-偏股,6.6,10.39,23.31,14.46,12.25,1.47,455,66.0,98.75431199693368,93.0,98.23957137389974,92.3,
014224.OF,大成聚优成长A,混合型,混合型-偏股,4.79,5.67,25.84,20.0,15.21,1.19,455,222.0,95.76466078957455,57.0,98.92843474933028,86.3,
014225.OF,大成聚优成长C,混合型,混合型-偏股,4.77,5.62,25.23,19.95,15.22,1.16,455,224.0,95.72633192794174,66.0,98.75621890547264,85.8,
014875.OF,惠升惠远回报C,混合型,混合型-偏股,1.4,1.37,14.18,14.61,10.17,0.83,454,863.0,83.4802606362591,410.0,92.17374665135858,82.3,
014874.OF,惠升惠远回报A,混合型,混合型-偏股,1.42,1.41,14.27,14.62,10.16,0.84,454,848.0,83.76772709850518,405.0,92.26942212016839,82.5,
014453.OF,中银新动力C,股票型,主动股票型,3.59,2.81,19.37,16.82,16.54,1.03,455,91.0,84.42906574394465,33.0,94.4636678200692,80.4,
012877.OF,富荣福耀C,混合型,混合型-偏股,-0.12,3.46,15.76,14.54,12.54,0.95,455,415.0,92.06592564200842,294.0,94.39341752774588,82.5,
012876.OF,富荣福耀A,混合型,混合型-偏股,-0.09,3.51,15.85,14.55,12.52,0.95,455,410.0,92.16174779609045,290.0,94.46995790279372,82.6,
014499.OF,南方转型增长C,灵活配置型,混合型-平衡,3.25,8.56,14.58,11.75,10.13,1.07,455,17.0,96.61733615221986,46.0,90.48625792811839,86.4,
014550.OF,诺安益鑫C,灵活配置型,混合型-平衡,4.5,4.89,21.32,16.74,13.51,1.15,455,36.0,92.60042283298098,16.0,96.82875264270614,86.3,
014521.OF,诺安利鑫C,灵活配置型,混合型-平衡,2.99,3.61,16.15,12.67,7.41,1.12,455,54.0,88.79492600422833,37.0,92.38900634249472,90.1,
013285.OF,上银价值增长3个月持有C,混合型,混合型-偏股,2.78,2.7,15.4,11.5,6.45,1.17,455,529.0,89.88118052893829,318.0,93.93417527745886,90.8,
